EmpName,EmpID,MarriedID,GenderID,EmpStatusID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
 Judith Carabbio,10085,0,0,1,3,0,93396,0,24,Software Engineer,MA,2132,1987-04-05,F,Single,2013-11-11,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.96,4,6,2019-01-30,0,3
 Michael   Carey,10115,0,1,1,3,0,52846,0,19,Production Technician I,MA,1701,1983-02-02,M,Single,2014-03-31,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.43,3,0,2019-02-01,0,14
 Claudia  N Carr,10082,0,0,2,3,0,100031,0,27,Sr. DBA,MA,1886,1986-06-06,F,Single,2016-06-30,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,5.0,5,6,2019-02-18,0,7
 Michelle  Carter,10040,0,0,1,3,0,71860,0,3,Area Sales Manager,VT,5664,2063-05-15,F,Single,2014-08-18,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,Fully Meets,5.0,5,0,2019-01-21,0,7
 Beatrice  Chace,10067,0,0,1,3,0,61656,0,19,Production Technician I,MA,2763,2051-01-02,F,Single,2014-09-29,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Google Search,Fully Meets,5.0,4,0,2019-02-12,0,11
 Brian Champaigne,10108,1,1,1,3,0,110929,0,5,BI Director,MA,2045,2072-02-09,M,Married,2016-09-06,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Fully Meets,4.5,5,7,2019-01-15,0,8
 Lin Chan,10210,0,0,1,3,0,54237,0,19,Production Technician I,MA,2170,1979-02-12,F,Single,2014-05-12,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,3.3,4,0,2019-02-19,0,11
 Donovan  E Chang,10154,0,1,1,3,0,60380,0,19,Production Technician I,MA,1845,1983-08-24,M,Single,2013-07-08,,N/A-StillEmployed,Active,Production       ,Webster Butler,39,LinkedIn,Fully Meets,3.8,5,0,2019-01-14,0,4
 Anton Chigurh,10200,0,1,1,3,0,66808,0,3,Area Sales Manager,TX,78207,2070-06-11,M,Single,2012-05-14,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Employee Referral,Fully Meets,3.0,5,0,2019-01-19,0,17
 Enola Chivukula,10240,0,0,5,3,0,64786,1,19,Production Technician I,MA,1775,1983-08-27,F,Single,2011-06-27,2015-11-15,relocation out of area,Voluntarily Terminated,Production       ,Amy Dunn,11,Indeed,Fully Meets,4.3,4,0,2015-03-10,0,3
 Caroline   Cierpiszewski,10168,0,0,1,3,0,64816,0,19,Production Technician I,MA,2044,1988-05-31,F,Single,2011-10-03,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.58,5,0,2019-01-30,0,3
 Rick Clayton,10220,0,1,1,3,0,68678,0,14,IT Support,MA,2170,1985-09-05,M,Single,2012-09-05,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,6,Indeed,Fully Meets,4.7,3,6,2019-02-27,0,2
 Jennifer Cloninger,10275,1,0,5,3,0,64066,1,20,Production Technician II,MA,1752,1981-08-31,F,Married,2011-05-16,2013-01-07,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,12,Google Search,Fully Meets,4.2,5,0,2012-05-03,0,9
 Phil Close,10269,1,1,5,3,0,59369,1,20,Production Technician II,MA,2169,1978-11-25,M,Married,2010-08-30,2011-09-26,career change,Voluntarily Terminated,Production       ,David Stanley,14,Indeed,Fully Meets,4.2,4,0,2011-05-04,0,6
 Elijian Clukey,10029,1,1,2,4,0,50373,0,19,Production Technician I,MA,2134,1980-08-26,M,Married,2016-07-06,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Employee Referral,Exceeds,4.1,4,0,2019-02-28,0,5
 James Cockel,10261,0,1,1,3,0,63108,0,19,Production Technician I,MA,2452,1977-09-08,M,Single,2013-07-08,,N/A-StillEmployed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.4,5,0,2019-01-14,0,3
 Spencer Cole,10292,0,1,4,2,0,59144,1,19,Production Technician I,MA,1880,1979-08-12,M,Single,2011-07-11,2016-09-23,performance,Terminated for Cause,Production       ,Kissy Sullivan,20,LinkedIn,Needs Improvement,2.0,3,0,2016-05-01,5,16
 Michael Corleone,10282,0,1,1,2,0,68051,0,18,Production Manager,MA,1803,1975-12-17,M,Divorced,2010-07-20,,N/A-StillEmployed,Active,Production       ,Janet King,2,CareerBuilder,Needs Improvement,4.13,2,0,2019-01-14,3,3
 Vito Corleone,10019,0,1,1,4,0,170500,0,10,Director of Operations,MA,2030,1983-03-19,M,Single,2009-01-05,,N/A-StillEmployed,Active,Production       ,Janet King,2,Indeed,Exceeds,3.7,5,0,2019-02-04,0,15
 Lisa  Cornett,10094,1,0,1,3,0,63381,0,19,Production Technician I,MA,2189,1977-03-31,F,Married,2015-01-05,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Indeed,Fully Meets,4.73,5,0,2019-02-14,0,6
 Frank Costello,10193,1,1,1,3,0,83552,0,9,Data Analyst,MA,1810,1986-08-26,M,Married,2015-03-30,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Indeed,Fully Meets,3.04,3,6,2019-01-22,0,2
   Jean Crimmings,10132,0,0,2,3,0,56149,0,19,Production Technician I,MA,1821,1987-04-10,F,Single,2016-07-06,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.12,5,0,2019-01-28,0,15
 Noah Cross,10083,0,1,1,3,0,92329,0,28,Sr. Network Engineer,CT,6278,2065-09-09,M,Single,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5.0,3,4,2019-01-02,0,5
 Lynn Daneault,10099,0,0,1,3,0,65729,0,21,Sales Manager,VT,5473,1990-04-19,F,Single,2014-05-05,,N/A-StillEmployed,Active,Sales,Debra Houlihan,15,Indeed,Fully Meets,4.62,4,0,2019-01-24,0,8
 Ann   Daniele,10212,1,0,3,3,0,85028,0,28,Sr. Network Engineer,CT,6033,2052-01-18,F,Married,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,3.1,5,8,2019-02-12,0,19
 Jene'ya  Darson,10056,1,0,1,3,0,57583,0,19,Production Technician I,MA,2110,1978-11-05,F,Married,2012-07-02,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,5.0,3,0,2019-02-25,0,1
 Daniel Davis,10143,0,1,1,3,0,56294,0,20,Production Technician II,MA,2458,1979-09-14,M,Single,2011-11-07,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.96,4,0,2019-02-27,0,6
 Randy Dee,10311,1,1,1,1,0,56991,0,19,Production Technician I,MA,2138,1988-04-15,M,Married,2018-07-09,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Fully Meets,4.3,4,3,2019-01-31,2,2
  James DeGweck,10070,1,1,5,3,0,55722,1,19,Production Technician I,MA,1810,1977-10-31,M,Married,2011-05-16,2016-06-08,unhappy,Voluntarily Terminated,Production       ,Webster Butler,39,Indeed,Fully Meets,5.0,4,0,2016-04-02,0,14
 Keyla Del Bosque,10155,0,0,1,3,0,101199,0,24,Software Engineer,MA,2176,1979-07-05,F,Single,2012-01-09,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,CareerBuilder,Fully Meets,3.79,5,5,2019-01-25,0,8
 Alex Delarge,10306,0,1,1,1,0,61568,0,3,Area Sales Manager,AL,36006,1975-11-02,M,Single,2014-09-29,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,PIP,1.93,3,0,2019-01-30,6,5
 Carla Demita,10100,0,0,5,3,0,58275,1,20,Production Technician II,MA,2343,2051-02-25,F,Separated,2011-04-04,2015-11-04,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.62,5,0,2015-05-06,0,1
 Carl  Desimone,10310,1,1,1,1,0,53189,0,19,Production Technician I,MA,2061,2067-04-19,M,Married,2014-07-07,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,PIP,1.12,2,0,2019-01-31,4,9
 Tommy DeVito,10197,0,1,1,3,0,96820,0,4,BI Developer,MA,2045,1983-09-04,M,Single,2017-02-15,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.01,5,7,2019-01-23,0,15
 Geoff  Dickinson,10276,0,1,1,3,0,51259,0,19,Production Technician I,MA,2180,1982-11-15,M,Single,2014-05-12,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.3,4,0,2019-02-19,0,1
 Jenna   Dietrich,10304,0,0,1,1,0,59231,0,3,Area Sales Manager,WA,98052,1987-05-14,F,Single,2012-02-20,,N/A-StillEmployed,Active,Sales,John Smith,17,Website,PIP,2.3,1,0,2019-01-29,2,17
 Lily  DiNocco,10284,1,0,1,2,0,61584,0,19,Production Technician I,MA,2351,1978-12-02,F,Married,2013-01-07,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Needs Improvement,3.88,4,0,2019-01-18,0,6
 Denisa  S Dobrin,10207,0,0,1,3,0,46335,0,19,Production Technician I,MA,2125,1986-10-07,F,Single,2012-04-02,,N/A-StillEmployed,Active,Production       ,David Stanley,14,CareerBuilder,Fully Meets,3.4,5,0,2019-02-19,0,15
 Linda Dolan,10133,1,0,1,3,0,70621,0,14,IT Support,MA,2119,1988-07-18,F,Married,2015-01-05,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,6,2019-02-25,0,16
 Eric Dougall,10028,0,1,1,4,0,138888,0,13,IT Manager - Support,MA,1886,2070-07-09,M,Single,2014-01-05,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,4.3,5,5,2019-01-04,0,4
 Elle Driver,10006,0,0,1,4,0,74241,0,3,Area Sales Manager,CA,90007,1988-11-08,F,Single,2011-01-10,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Exceeds,4.77,5,0,2019-01-27,0,14
 Amy   Dunn,10105,0,0,1,3,0,75188,0,18,Production Manager,MA,1731,1973-11-28,F,Single,2014-09-18,,N/A-StillEmployed,Active,Production       ,Janet King,2,Google Search,Fully Meets,4.52,4,0,2019-01-15,0,4
 Amy Dunne,10211,1,0,1,3,0,62514,0,19,Production Technician I,MA,1749,1973-09-23,F,Married,2010-04-26,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,2.9,3,0,2019-01-21,0,6
 Marianne Eaton,10064,1,0,5,3,0,60070,1,19,Production Technician I,MA,2343,1991-09-05,F,Married,2011-04-04,2017-06-06,military,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,5.0,3,0,2017-04-09,0,7
 Jean Engdahl,10247,0,1,1,3,0,48888,0,19,Production Technician I,MA,2026,1974-05-31,M,Single,2014-11-10,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.7,5,0,2019-02-13,0,8
 Rex England,10235,1,1,1,3,0,54285,0,19,Production Technician I,MA,2045,1978-08-25,M,Married,2014-03-31,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,4.2,3,0,2019-01-11,0,3
 Angela Erilus,10299,0,0,1,1,0,56847,0,20,Production Technician II,MA,2133,1989-08-25,F,Separated,2014-07-07,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Indeed,PIP,3.0,1,0,2019-02-25,2,5
 Miguel Estremera,10280,0,1,4,2,0,60340,1,19,Production Technician I,MA,2129,1983-09-02,M,Single,2012-04-02,2018-09-27,attendance,Terminated for Cause,Production       ,Michael Albert,22,Google Search,Needs Improvement,5.0,4,0,2018-04-12,5,16
 April Evensen,10296,0,0,4,2,0,59124,1,19,Production Technician I,MA,2458,1989-05-06,F,Single,2014-02-17,2018-02-25,"no-call, no-show",Terminated for Cause,Production       ,Elijiah Gray,16,Google Search,Needs Improvement,2.3,3,0,2017-01-15,5,19
 Susan Exantus,10290,1,0,4,2,0,99280,1,24,Software Engineer,MA,1749,1987-05-15,F,Married,2011-05-02,2013-06-05,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,10,Indeed,Needs Improvement,2.1,5,4,2012-08-10,4,19
 Megan  Faller,10263,1,0,1,3,0,71776,0,20,Production Technician II,MA,1824,1978-09-22,F,Married,2014-07-07,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,4.4,5,0,2019-02-22,0,17
 Nicole Fancett,10136,0,0,1,3,0,65902,0,20,Production Technician II,MA,2324,1987-09-27,F,Single,2014-02-17,,N/A-StillEmployed,Active,Production       ,Webster Butler,39,LinkedIn,Fully Meets,4.0,4,0,2019-01-07,0,7
 Susan Ferguson,10189,1,0,5,3,0,57748,1,19,Production Technician I,MA,2176,2055-04-14,F,Married,2011-11-07,2016-05-17,military,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,3.13,3,0,2016-02-04,0,16
 Nilson   Fernandes,10308,1,1,1,1,0,64057,0,19,Production Technician I,MA,2132,1989-10-18,M,Married,2015-05-11,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,PIP,1.56,5,0,2019-01-03,6,15
 Boba Fett,10309,0,1,1,1,0,53366,0,15,Network Engineer,MA,2138,1987-06-18,M,Single,2015-03-30,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,PIP,1.2,3,6,2019-02-04,3,2
  Libby Fidelia,10049,1,0,1,3,0,58530,0,19,Production Technician I,MA,2155,1981-03-16,F,Married,2012-01-09,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Google Search,Fully Meets,5.0,5,0,2019-01-29,0,19
 Michael  J Fitzpatrick,10093,0,1,5,3,0,72609,1,20,Production Technician II,MA,2143,1981-10-01,M,Single,2011-05-16,2013-06-24,hours,Voluntarily Terminated,Production       ,Amy Dunn,11,Google Search,Fully Meets,4.76,5,0,2013-04-05,0,20
 Tanya Foreman,10163,1,0,5,3,0,55965,1,20,Production Technician II,MA,2170,1983-11-08,F,Married,2011-04-04,2013-01-09,career change,Voluntarily Terminated,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,3.66,3,0,2012-01-07,0,6
 Alex Forrest,10305,1,1,1,3,0,70187,1,3,Area Sales Manager,MA,2330,1975-07-07,M,Married,2014-09-29,2018-08-19,Fatal attraction,Terminated for Cause,Sales,Lynn Daneault,21,Employee Referral,PIP,2.0,5,0,2019-01-28,4,7
 Jason Foss,10015,0,1,1,4,0,178000,0,12,IT Director,MA,1460,1980-07-05,M,Single,2011-04-15,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,5.0,5,5,2019-01-07,0,15
 Amy Foster-Baker,10080,1,0,1,3,0,99351,0,26,Sr. Accountant,MA,2050,1979-04-16,F,Married,2009-01-05,,N/A-StillEmployed,Active,Admin Offices,Board of Directors,9,Other,Fully Meets,5.0,3,2,2019-02-08,0,3
 Maruk  Fraval,10258,0,1,1,3,0,67251,0,3,Area Sales Manager,CT,6050,2063-08-28,M,Single,2011-09-06,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,CareerBuilder,Fully Meets,4.3,3,0,2019-01-27,2,7
 Lisa Galia,10273,0,0,1,3,0,65707,0,14,IT Support,CT,6040,2068-07-06,F,Single,2010-05-01,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,6,LinkedIn,Fully Meets,4.7,4,5,2019-02-01,0,1
 Raul Garcia,10111,0,1,1,3,0,52249,0,19,Production Technician I,MA,1905,1985-09-15,M,Single,2015-03-30,,N/A-StillEmployed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.5,3,0,2019-02-18,0,5
 Barbara Gaul,10257,0,0,1,3,0,53171,0,19,Production Technician I,MA,2121,1983-12-02,F,Single,2011-05-16,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.2,4,0,2019-02-26,0,12
 Mildred Gentry,10159,1,0,1,3,0,51337,0,19,Production Technician I,MA,2145,1990-10-01,F,Married,2015-03-30,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Fully Meets,3.73,3,0,2019-01-16,0,19
 Melisa Gerke,10122,0,0,5,3,1,51505,1,19,Production Technician I,MA,2330,2070-05-15,F,Divorced,2011-11-07,2016-11-15,hours,Voluntarily Terminated,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,4.24,4,0,2016-04-29,0,2
 Whitney   Gill,10142,0,0,4,3,0,59370,1,3,Area Sales Manager,OH,43050,2071-07-10,F,Widowed,2014-07-07,2015-09-05,attendance,Terminated for Cause,Sales,John Smith,17,CareerBuilder,Fully Meets,3.97,4,0,2014-01-15,0,7
 Alex Gilles,10283,1,1,5,2,1,54933,1,19,Production Technician I,MA,2062,1974-08-09,M,Married,2012-04-02,2015-06-25,military,Voluntarily Terminated,Production       ,Webster Butler,39,Diversity Job Fair,Needs Improvement,3.97,4,0,2015-01-20,3,15
 Evelyn Girifalco,10018,0,0,1,4,0,57815,0,19,Production Technician I,MA,2451,1980-05-08,F,Single,2014-09-29,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,Exceeds,3.9,4,0,2019-02-07,0,3
